WSD_INFORMATION	CUI	NUM_SENSES	GOLD_EMERGENCE_YEAR	PREDICTED_EMERGENCE_YEAR	MinYearGoldSENSEdata	MaxYearGoldSENSEdata	MinYearPredictedSENSEdata	MaxYearPredictedSENSEdata	StartGoldData	EndGoldData	GoldYearRange	EvalStatus	IndivError	NormalisedError	IndivByTargets	NotmalisedBytargets	GoldEMERGENCEstatus	PredictedEMERGENCEstatus	GoldPredEMERGENCE
AA	C0002520	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
AA	C0001972	2	0	0	1947	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
ADA	C0001457	2	0	0	1955	2018	1955	1955	1955	2018	63	TN	0	0.000000	0.000000	0.000000	-	-	-
ADA	C0002456	2	0	0	1955	2018	1955	1955	1955	2018	63	TN	0	0.000000		-	-	-	-
ADH	C0003779	2	0	0	1975	2018	1975	1975	1975	2018	43	TN	0	0.000000	21.500000	0.500000	-	-	-
ADH	C0001942	2	1978	0	1976	2018	1975	1975	1975	2018	43	FN	43	1.000000		-	Gold_EMERGENCE	-	-
ADP	C0004374	2	1958	0	1959	2018	1957	1957	1956	2018	62	FN	62	1.000000	31.000000	0.500000	Gold_EMERGENCE	-	-
ADP	C0001459	2	0	0	1956	2018	1956	1956	1956	2018	62	TN	0	0.000000		-	-	-	-
ALS	C0002736	2	0	1948	1948	2018	1948	1948	1948	2018	70	FP	70	1.000000	35.000000	0.500000	-	Predicted_EMERGENCE	-
ALS	C0003372	2	0	0	1968	2018	1948	1948	1948	2018	70	TN	0	0.000000		-	-	-	-
ANA	C0002463	2	1962	0	1963	2017	1962	1962	1962	2018	56	FN	56	1.000000	28.000000	0.500000	Gold_EMERGENCE	-	-
ANA	C0003243	2	0	0	1962	2018	1962	1962	1962	2018	56	TN	0	0.000000		-	-	-	-
Adrenal	C0001625	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000	0.000000	0.000000	-	-	-
Adrenal	C0014563	2	0	0	1945	2018	1945	1945	1945	2018	73	TN	0	0.000000		-	-	-	-
Ala	C0001898	3	0	0	1947	2018	1947	1947	1947	2018	71	TN	0	0.000000	12.333333	0.173709	-	-	-
Ala	C0002563	3	1954	1991	1953	2018	1947	1947	1947	2018	71	FP	37	0.521127		-	Gold_EMERGENCE	Predicted_EMERGENCE	-
Ala	C0051405	3	0	0	1947	2018	1947	1947	1947	2018	71	TN	0	0.000000		-	-	-	-
